airport,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18
KPDX,620,2103,1836,1441,1596,2018,2135,2026,2060,2152,2122,1737,1663,1169,804,603,543,534
KPHF,28,97,97,55,38,71,89,83,98,94,104,95,88,54,44,38,30,32
KPHL,821,3336,3186,2942,3136,3272,3369,3400,3429,3342,3456,3227,2287,1664,1495,1330,1056,1046
KPHX,1405,5075,4775,4495,4688,4953,5014,5160,5196,5195,5379,5082,4062,2900,2441,1994,1597,1545
KPIA,12,31,30,35,29,32,34,38,37,37,38,6,23,36,22,19,17,16
KPIT,21,115,123,192,206,190,213,213,214,230,213,203,138,190,151,127,87,51
KPVD,60,228,237,475,543,533,529,561,548,540,520,485,333,253,223,196,143,153
KRDU,471,1978,1917,1766,1929,1915,1969,1951,2004,1924,1903,1812,1242,755,578,463,366,360
KRFD,7,186,167,152,121,126,173,170,146,194,145,129,135,131,155,186,155,134
KRIC,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRNO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
KROA,51,203,211,172,206,182,141,226,221,191,183,172,126,106,106,70,0,0
KROC,136,549,560,523,560,548,531,585,584,569,519,511,340,251,177,160,115,111
KRST,7,18,8,8,19,19,17,20,0,0,4,16,8,12,3,0,0,4
KRSW,407,810,1323,1263,1261,1331,1386,1517,1579,1536,1675,1642,1242,779,592,421,278,265
KSAN,852,2978,2838,2697,2838,2981,2974,2974,3045,2989,2968,2852,2101,1470,1101,948,800,725
KSAT,333,1246,1151,1104,1190,1264,1245,1270,1269,1220,1249,1149,835,592,526,450,372,348
KSAV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KSBN,5,0,0,0,0,0,0,2,0,0,4,3,2,1,1,0,1,0
KSDF,460,1898,1716,1637,1675,1735,1788,1705,1652,1605,1611,1504,1345,1259,1217,1222,1177,1175
KSEA,1263,4475,3902,3766,4129,4345,4413,4412,4465,4357,4285,4091,2996,2244,1621,1319,1227,1191
KSFB,3,7,31,4,8,22,21,6,4,11,10,23,32,7,2,7,6,10
KSFO,1236,4439,4121,3856,4067,4313,4357,4328,4504,4425,4500,4153,2699,1806,1169,970,854,809
KSGF,44,197,220,203,257,237,237,212,229,247,216,216,164,120,105,91,79,80
KSJC,522,1925,1870,1711,1818,1908,1917,1905,1969,1905,1868,1670,1287,878,569,486,440,414
KSLC,99,765,649,452,430,596,508,382,371,681,645,764,458,407,506,229,187,204
KSMF,457,1613,1459,1409,1410,1551,1579,1562,1548,1537,1483,1414,1089,734,653,530,462,433
KSNA,411,1466,1347,1298,1375,1419,1434,1437,1450,1360,1365,1295,846,514,369,346,298,284
KSPI,21,66,48,46,50,53,50,53,55,42,36,20,28,28,32,29,36,34
KSRQ,93,300,333,315,308,293,317,351,340,339,344,312,237,119,91,102,84,98
KSTL,566,2162,2097,1844,2076,2130,2198,2208,2183,2094,2087,1935,1496,1134,972,778,672,657
KSUS,0,3,6,2,4,5,3,5,8,5,5,9,1,2,2,1,1,2
KSUX,2,6,5,6,4,5,5,6,7,7,6,3,3,5,1,0,0,0
KSYR,14,143,106,124,123,372,469,545,541,545,522,542,358,197,146,136,83,103
KTLH,1,1,0,0,1,0,0,1,0,0,2,4,2,0,0,2,1,1
KTOL,0,57,9,0,37,50,50,50,49,48,11,0,0,0,0,1,0,0
KTPA,707,2492,2284,2189,2297,2409,2472,2611,1172,777,1751,1501,1041,684,494,305,226,268
KTUL,162,629,577,581,595,596,602,609,619,604,589,582,443,313,234,211,170,144
KTUS,50,198,147,190,209,160,130,175,165,216,235,233,227,184,171,117,100,133
KTYS,101,588,562,531,500,569,552,578,589,589,607,581,407,323,268,234,179,160
KVPS,69,205,154,152,139,121,138,169,144,122,159,142,107,55,50,70,52,67
PANC,148,552,507,486,447,444,481,485,514,601,660,626,645,569,466,418,444,445
